Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word,TRUE
YONGDA INVESTMENT LIMITED,25340,yongda investment,yongda,China Yongda Automobiles Services,97487,88.8,yongda investment,Investment Trust,26824,94.8,yongda investment,Investment Trust,26824,94.8,Yongda
YORKSHIRE HOUSING FINANCE PLC,9694,yorkshire housing finance,yorkshire,Yorkshire Fine,51841,94.4,yorkshire housing,Shire,183483,86.6,yorkshire housing finance,Housing Finance,110274,95.0,Yorkshire
YORKSHIRE HOUSING LIMITED,9678,yorkshire housing,yorkshire,Yorkshire Fine,51841,95.4,yorkshire housing,Shire,50501,89.0,yorkshire housing,Shire,50501,89.0,Yorkshire
YORKSHIRE WATER FINANCE PLC,9890,yorkshire water finance,yorkshire,Yorkshire Water B,183764,96.0,yorkshire water,Yorkshire Water B,183764,96.0,yorkshire water finance,Yorkshire Water B,183764,91.2,Yorkshire
YORKSHIRE WATER SERVICES LIMITED,9171,yorkshire water services,yorkshire,Yorkshire Water B,183764,95.6,yorkshire water,Yorkshire Water B,183764,95.6,yorkshire water services,Yorkshire Water B,183764,90.8,Yorkshire
YORKSHIRE WATER SERVICES ODSAL FINANCE LIMITED,14836,yorkshire water services odsal finance,yorkshire,Yorkshire Tyne Tees Warrants,148384,92.2,yorkshire water,Yorkshire Water 170P Paid Dead,233237,91.8,yorkshire water services,Yorkshire Water B,183764,86.8,Yorkshire
YPF ENERGIA ELECTRICA SOCIEDAD ANONIMA,2816,ypf energia electrica sociedad anonima,ypf,YPF Sociedad (Mexico) Anonima ADR Each 'D' 1:1,220928,89.6,ypf energia,Energia,34315,86.2,ypf energia electrica,Energia,1580,86.2,YPF
YTL Power Generation Sdn Bhd,15816,ytl power generation sdn bhd,ytl,YTL Power International,107360,94.2,ytl power,YTL Power International,107360,94.2,ytl power generation,Power Generation,126712,94.6,YTL power
Yancoal International Resources Development Co,10479,yancoal international resources development co,yancoal,Yancoal Australia (Non-NASDAQ OTC),249986,90.0,yancoal international,Coal International,46190,91.2,yancoal international resources,Coal International,46190,91.2,Yancoal
Yardville Capital Trust II,22460,yardville capital ii,yardville,Yardville Capital Trust Preferred Securities,148370,95.4,yardville capital,Yardville Capital Trust Preferred Securities,148370,95.4,yardville capital ii,Capital Securities,115447,90.4,Yardville
Yingde Gases Investment Limited,25282,yingde gases investment,yingde,Yingde Gases Group,31726,92.6,yingde gases,Yingde Gases Group,31726,92.6,yingde gases investment,Investment Trust,26824,92.2,Yingde Gases
Yinson Juniper Ltd,25390,yinson juniper,yinson,Yinson Holdings,107354,91.0,yinson juniper,Uniper Securities,87674,92.0,yinson juniper,Uniper Securities,87674,92.0,Yinson
Yokohama Finance Cayman Limited,14704,yokohama finance cayman,yokohama,Yokohama Matsuzakaya,31733,92.0,yokohama finance,Koha,27620,86.0,yokohama finance cayman,Koha,27620,86.0,YOKOHAMA
Yokohama Preferred Capital Cayman Limited,14933,yokohama preferred capital cayman,yokohama,Yokohama Matsuzakaya,31733,91.4,yokohama preferred,Hana Securities Preferred,178820,85.4,yokohama preferred capital,Red Capital,141256,90.0,YOKOHAMA
Yorkshire Building Society,8982,yorkshire building society,yorkshire,Yorkshire Electricity,183763,93.6,yorkshire building,Shire,183483,86.4,yorkshire building society,Home Building Society,2123,88.19999999999999,Yorkshire
Yorkshire Power Finance Limited,14662,yorkshire power finance,yorkshire,Yorkshire Fine,51841,95.2,yorkshire power,Shire,183483,87.2,yorkshire power finance,Power Finance,97963,94.4,Yorkshire
Yorkshire Water Services Bradford Finance Limi,9405,yorkshire water services bradford finance limi,yorkshire,Yorkshire Tyne Tees Warrants,148384,91.4,yorkshire water,Yorkshire Water Partly-Paid,183762,91.0,yorkshire water services,Yorkshire Water B,183764,86.0,Yorkshire
Yorkshire Water Services Finance Limited,9245,yorkshire water services finance,yorkshire,Yorkshire Water B,183764,93.0,yorkshire water,Yorkshire Water B,183764,93.0,yorkshire water services,Yorkshire Water B,183764,88.2,Yorkshire
ZEUS RECEIVABLES TRUST,5168,zeus receivables,zeus,Zeus Resources,87299,93.4,zeus receivables,Able,23892,88.0,zeus receivables,Able,23892,88.0,Zeus
ZHONGTAI INTERNATIONAL FINANCE (BVI) COMPANY L,10532,zhongtai international finance (bvi) company l,zhongtai,Zhongtai Futures Company 'H',106064,91.4,zhongtai international,International,206505,88.8,zhongtai international finance,National Finance,112023,90.4,Zhong Tai
ZIRAAT FINANSAL KIRALAMA ANONIM SIRKETI,18265,ziraat finansal kiralama anonim sirketi,ziraat,Ziraat Portfoy Bist Likit Banka Endeksi Hisse,177061,90.0,ziraat finansal,AAT,18,82.8,ziraat finansal kiralama,IS Finansal Kiralama,119887,84.8,ZIRAAT
ZIRAAT KATILIM VARLIK KIRALAMA ANONIM SIRKETI,18282,ziraat katilim varlik kiralama anonim sirketi,ziraat,Ziraat Gayrimenkul Yatirim Ortakligi A S,116401,90.4,ziraat katilim,ATI,62707,82.4,ziraat katilim varlik,ATI,62707,82.4,ZIRAAT
Zeus (Cayman) Ltd,14745,zeus (cayman),zeus,Zeus Energy,13974,90.0,zeus (cayman),Zeus,124387,89.4,zeus (cayman),Zeus,124387,89.4,Zeus
Zhongsheng (Dalian) Group Co Ltd,6725,zhongsheng (dalian) group co,zhongsheng,Zhongsheng Group Holdings,97163,93.6,zhongsheng (dalian),Alia,229145,85.0,zhongsheng (dalian) group,Securities Group,29993,86.0,Zhongsheng
Zhongtai International Structured Solutions Li,10631,zhongtai international structured solutions li,zhongtai,Zhongtai Futures Company 'H',106064,89.8,zhongtai international,International,206505,88.8,zhongtai international structured,International,206505,88.8,Zhong tai
Zijin International Capital Company Limited,10605,zijin international capital company,zijin,Zijing International Financial Holdings,106069,94.6,zijin international,International,206505,90.8,zijin international capital,National Capital,75093,92.6,Zijin Mining
Zijin International Finance Company Limited,6661,zijin international finance company,zijin,Zijing International Financial Holdings,106069,95.6,zijin international,Zijing International Financial Holdings,106069,91.6,zijin international finance,National Finance,112023,92.6,Zijin Mining
Zions First National Bank,21458,zions first national bank,zions,Zions Capital Trust B Cap Securities,61896,91.8,zions first,First,186246,86.6,zions first national,National,10379,89.6,
"Zoomlion HK SPV Co., Limited",10477,zoomlion hk spv,zoomlion,Lion,106810,88.4,zoomlion hk,Zoom,115081,88.4,zoomlion hk spv,Zoom,115081,88.4,zoomlion
Zur Rose Finance B.V.,16469,zur rose finance b.v.,zur,Zurich Insurance B,181624,92.4,zur rose,ZUR Rose (Frankfurt),276266,91.8,zur rose finance,ZUR Rose,116404,91.0,Zur Rose
