ISSUER_NAME,No. 
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,18469
"Cathay Life Insurance Co., Ltd.",18470
"Shin Kong Life Insurance Co., Ltd.",18472
BNP Paribas (Taipei Branch),18473
The Standard Bank of South Africa Limited,18474
Hotai Finance Corporation,18477
Nan Shan Life Insurance Company Limted,18478
"Fina Finance & Trading Co., Ltd.",18479
"Yuanta Securities Co., Ltd.",18483
DRAGON STEEL CORPORATION,18486
"Fubon Life Insurance Co., Ltd",18489
"Taishin Securities Co.,Ltd.",18493
Cathay United Bank Company Limited,18501
"Taishin International Bank Co., Ltd.",18502
DBS Bank (Taiwan) Limited,18503
Bank of China Taipei Branch,18505
China Construction Bank Taipei Branch,18506
"Bank of Communications Co., Ltd.",18508
"ZAT ""OTP Bank""",18523
JOINT-STOCK COMPANY ALFA-BANK,18524
"Publichne aktsionerne tovarystvo ""Dochirnii ba",18526
Public Joint Stock Company Universal Bank,18527
"Public joint-stock company commercial bank ""PR",18529
"Publichne aktsionerne tovarystvo ""INH Bank Ukr",18531
Public Joint-Stock Company Astra Bank,18535
"Publichne aktsionerne tovarystvo ""CREDI AGRIKO",18536
JOINT STOCK COMPANY UKRAINIAN RAILWAYS,18537
Standard Chartered Bank Uganda Limited,18540
COBALTS Trust for Sprint Capital Notes,18541
99 Cents Only Stores,18551
"PACIFIC ETHANOL CENTRAL, LLC",18554
"Hertz Global Holdings, Inc.",18556
"BioMed Realty Trust, Inc.",18561
"Cardtronics, Inc.",18569
"Casual Male Retail Group, Inc.",18574
"bebe stores, inc.",18583
Bell Microproducts Inc.,18584
Aeropostale Inc,18587
Endo Health Solutions Inc.,18597
EasyLink Services International Corporation,18601
