ISSUER_NAME,No. 
BURGAN FINANSAL KIRALAMA ANONIM SIRKETI,18280
Vakif Finans Factoring Hizmetleri Anonim Sirke,18281
ZIRAAT KATILIM VARLIK KIRALAMA ANONIM SIRKETI,18282
TURKCELL FINANSMAN ANONIM SIRKETI,18283
HALK VARLIK KIRALAMA ANONIM SIRKETI,18284
DESTEK VARLIK YONETIM ANONIM SIRKETI,18285
HALK FAKTORING ANONIM SIRKETI,18286
YATIRIM FINANSMAN MENKUL DEGERLER ANONIM SIRKE,18287
QNB FINANS VARLIK KIRALAMA ANONIM SIRKETI,18288
YATIRIM VARLIK KIRALAMA ANONIM SIRKETI,18289
EMLAK KATILIM VARLIK KIRALAMA ANONIM SIRKETI,18290
BNP PARIBAS FINANSAL KIRALAMA ANONIM SIRKETI,18291
ZKB VARLIK KIRALAMA ANONIM SIRKETI,18292
THE WEST INDIAN TOBACCO COMPANY LIMITED,18294
Taiwan Cooperative Bank,18299
"COSMOS BANK, TAIWAN",18351
Epistar Corporation,18380
"Ta Chong Bank, Ltd.",18422
"Taiwan Life Insurance Co., Ltd.",18428
China Development Industrial Bank,18442
"Hua Nan Commercial Bank, Ltd.",18443
Chinatrust Commercial Bank,18444
"Taipei Fubon Commercial Bank Co.,Ltd.",18446
E.SUN Bank,18447
"Yuanta Commercial Bank Co., Ltd.",18448
"CHAILEASE FINANCE CO., LTD.",18449
"First Commercial Bank Co.,Ltd.",18450
"Mega International Commercial Bank Co., Ltd.",18451
Standard Chartered Bank (Taiwan) Limited,18454
"Yuanta Securities Finance Co., Ltd.",18455
Bank Sinopac Co.Ltd.,18456
Yuan Ding Investment Corp.,18457
JIH SUN INTERNATIONAL BANK,18458
"Taishin International Bank Co., Ltd.",18459
Walsin Advanced Electronics Ltd,18461
Taiwan Shin Kong Commercial Bank Company Ltd.,18463
SOCIETE GENERALE (TAIPEI BRANCH),18464
Deutsche Bank AG (Taipei Branch),18466
Ho-Ping Power Company,18467
HSBC Bank (Taiwan) Limited,18468
