ISSUER_NAME,No. 
Verizon California Inc,21767
GTE Southwest Incorporated,21768
Bank of Tokyo-Mitsubishi UFJ Trust Company,21769
FPL Energy Virginia Funding Corp,21770
Colonial Gas Company,21771
HILLTOP SECURITIES INC.,21772
Intermedia Communications Inc.,21773
Verizon Wireless Capital LLC,21774
Bay State Gas Company,21775
"People Express Airlines, Inc.",21776
METLIFE INSURANCE COMPANY OF CONNECTICUT,21777
FPL Energy Caithness Funding Corp,21778
Morgan Guaranty Trust Company of New York,21779
Converium Holdings (North America) Inc.,21780
Columbia State Bank,21781
"Bottling Group,  LLC",21782
"MBIA Global Funding, LLC",21784
TRW Automotive Inc.,21785
Webster Bank NA,21786
HVB Funding Trust III,21787
Bunge Limited Finance Corp.,21788
"Cricket Communications, Inc.",21789
"Nabors Industries, Inc.",21790
Choctaw Generation Limited Partnership,21791
Tiverton Power Associates Limited Partnership,21792
Southern Community Bank & Trust,21793
"WASTE MANAGEMENT HOLDINGS, INC.",21794
ASIF Global Financing XIX,21795
"Comcast Cable Communications Holdings, Inc.",21797
RBS Capital Trust B,21798
BNP Paribas Capital Trust VI,21799
First Tennessee Bank National Association,21800
PRICOA Global Funding I,21801
"MUNICIPAL CORRECTIONS FINANCE, L.P.",21802
"SG Structured Products, Inc.",21803
AIG-Mezzvest Funding Limited,21804
TEXAS COMPETITIVE ELECTRIC HOLDINGS COMPANY LL,21805
ComEd Financing III,21808
"OneBeacon U.S. Holdings, Inc.",21809
Miller Brewing Company,21810
Antonveneta Capital Trust I,21811
Antonveneta Capital Trust II,21812
Boston Properties Limited Partnership,21813
Toll Brothers Finance Corp.,21814
"Boardwalk Pipelines, LP",21815
National Capital Trust (Delaware),21816
