ISSUER_NAME,No. 
Sparkle Assets Limited,25270
COSCO Pacific Finance (2013) Company Limited,25271
"Sinochem CP Co., Ltd.",25272
CITIC Telecom International Finance Limited,25273
JOYOUS GLORY GROUP LIMITED,25274
Melco Finance Limited,25275
PCCW-HKT Capital No. 5 Limited,25276
Bestgain Real Estate Limited,25277
Studio City Company Limited,25278
TSMC Global Ltd.,25279
SmarTone Finance Limited,25280
YUEXIU REIT MTN COMPANY LIMITED,25281
Yingde Gases Investment Limited,25282
FPC Treasury Limited,25283
Sinopec Capital (2013) Limited,25284
Minmetals Land Capital Limited,25285
AGEAS CAPITAL (ASIA) LIMITED,25286
"CITIC Securities Finance 2013 Co., Ltd",25287
Beijing Enterprises Water Capital Management L,25288
Want Want China Finance Limited,25289
CNOOC Finance (2013) Limited,25290
Cheung Kong Bond Securities (02) Limited,25291
BESTGAIN REAL ESTATE LYRA LIMITED,25292
Poly Real Estate Finance Ltd,25293
Franshion Brilliant Limited,25294
NWD (MTN) Limited,25295
Haitong International Finance Holdings Limited,25296
WANDA PROPERTIES OVERSEAS LIMITED,25297
Logo Star Limited,25298
Keen Bond Investment Limited,25299
Amipeace Limited,25300
Trillion Chance Limited,25301
C.P. Foods Holdings Limited,25302
Towngas (Finance) Limited,25303
Wanda Properties International Co. Limited,25304
Horsepower Finance Limited,25305
SafeCharge International Group Ltd,25306
China Cinda Finance (2014) Limited,25308
GUOTAI JUNAN FINANCIAL HOLDINGS (BVI) LIMITED,25309
Unican Limited,25310
