ISSUER_NAME,No. 
Fortnox AB,17558
Hexpol AB,17559
Hexatronic Group AB,17561
Akzo Nobel Sweden Finance AB,17563
Loomis AB,17564
Nynas AB (publ),17566
HOIST Kredit Aktiebolag,17567
MQ Holding AB,17569
PKO Finance AB,17571
TVN Finance Corporation III AB (publ),17572
Moberg Pharma AB (publ),17573
CDON Group AB,17574
Cyfrowy Polsat Finance AB,17578
Boule Diagnostics AB,17581
NorCell Sweden Holding 2 AB (publ),17582
NorCell Sweden Holding 3 AB (publ),17583
Eileme 2 AB (publ),17586
PGNiG Finance AB (publ),17587
Creades AB (publ),17588
Peab Finans Aktiebolag,17590
MCB Treasury AB,17592
Energa Finance AB (publ),17595
Mr Green & Co AB (publ),17598
Oscar Properties Holding AB,17599
Scandinavian Air Ambulance AB,17600
Etraveli AB,17602
SPP Livfrskring AB,17604
PGE Sweden AB (publ),17606
ORLEN Capital AB,17609
PZU Finance AB,17610
Alfa Laval Treasury International AB,17612
AB Fortum Varme Holding samagt med Stockholms,17614
Synthos Finance AB,17615
Molnlycke Holding AB,17616
Lifco AB (publ),17618
Trelleborg Treasury AB (publ),17620
Evolution Gaming Group publ AB,17628
Troax Group AB (publ),17629
Resurs Bank Aktiebolag,17631
Uppfinnaren 1 AB,17639
