Target Name,Target No.
WHARF MTN (SINGAPORE) PTE. LTD.,17879
WHARF REIC FINANCE (BVI) LIMITED,25400
WHEATLEY GROUP CAPITAL PLC,9706
WHEATLEY HOUSING GROUP LIMITED,9769
Wheaton Bank & Trust,22725
Wheelock Finance Limited,10347
WHG TREASURY PLC,9689
Whirlpool EMEA Finance S.a r.l.,15384
Whirlpool Europe B.V.,16289
Whirlpool Finance Luxembourg S.a r.l.,15355
WHITBREAD GROUP PLC,9260
"White Pine Hydro Portfolio, LLC",23073
WHITECAP ENERGY INC.,5189
WHITNEY CLO I LTD,14780
"WIDEOPENWEST FINANCE, LLC",22128
WIENER STAEDTISCHE VERSICHERUNG AG Vienna Insu,2906
Wienerberger Finanz Service GmbH,2910
Wiik & Hoeglund Public Company Limited,18066
Wi-Lan Inc.,4876
"WILLCOM,Inc",13534
William Demant Holding A/S,187
"Willis North America, Inc.",21515
WILLOW CAYMAN I LTD.,14812
WILLOW NO. 2 (CAYMAN) LIMITED,14885
WILLSCOT CORPORATION,24207
"WILMINGTON SAVINGS FUND SOCIETY, FSB",22709
Wilmington Trust Company,21965
Wilshire Bank,22821
Wind Acquisition Finance S.A.,15163
Wind Tre SpA,12286
WINDEPAR HOLDING S.A.,4414
Windsor Financing LLC,22036
Windsor Solar LP,5403
Windstream Corp.,20729
"WINDSTREAM ESCROW, LLC",25050
Windstream Georgia Communications LLC,21330
"Windstream Holdings of the Midwest, Inc.",22364
Winstar Equipment Corp,21329
Wintershall Dea Finance 2 B.V.,16483
Wintershall Dea Finance B.V.,16464
Wintrust Statutory Trust IV,21926
Wintrust Statutory Trust V,21918
"WIPRO IT SERVICES, LLC",24923
Wirtschafts- und Infrastrukturbank Hessen,7710
Wirye Energy Service Co.,14446
WISCONSIN BANK AND TRUST,22863
Wisconsin Energy Corp.,213
Wisconsin Gas LLC,21104
Wisconsin Michigan Investment Corp,22954
WISDOM GLORY GROUP LIMITED,25379
WISDOM PRODUCT S.A.E.C.A.,17080
Wiseyear Holdings Limited,10452
Wittur International Holding GmbH,7752
WL BANK AG Westfaelische Landschaft Bodenkredi,7615
WLH PNW FINANCE CORP.,23976
WMC Finance (USA) Ltd.,3257
WMG ACQUISITION CORP.,22091
WMIH CORP.,24144
Wohnungsbaugesellschaft JADE mbH,7750
Wolseley PLC,1904
WOMEN'S COLLEGE PARTNERSHIP,5393
WONDER SPACE PROPERTIES PRIVATE LIMITED,11914
Woods Equipment Company,21568
Woodside Finance Ltd.,3262
"WOODSIDE HOMES COMPANY, LLC",23653
Woori America Bank,22641
Woori Bank (SydneyBranch),3694
Woori Bank China Limited,7085
"Woori Card Co., Ltd.",14407
"WOORI F&I CO., LTD.",14320
WOORI FIS,14393
WORLDPAY FINANCE PLC,9752
World's Foremost Bank,22794
WORLEY UK FINANCE SUB PLC,9949
WORLEY US FINANCE SUB LIMITED,23549
WPC Eurobond B.V.,16429
WPP 2008 Limited,9351
WPP CP Finance Plc,9343
WPP CP LLC,23913
WPP Finance (UK),9209
WPP Finance 2010,9513
WPP FINANCE 2013,9610
WPP FINANCE 2016,9820
