Target Name,Target No.
REFINITIV US HOLDINGS INC.,24710
REGENT STREET FINANCE LIMITED,12434
REGIE AUTONOME DES TRANSPORTS PARISIENS EPIC,8509
Regional REIT Limited,10024
"REGIONALCARE HOSPITAL PARTNERS HOLDINGS, INC.",24317
Regions Bank,22162
Regions Financing Trust II,22339
REGUS EVERSUN BUSINESS CENTRE PRIVATE LIMITED,11766
Regus Group PLC,703
RELIANCE AMBIT TRADE PRIVATE LIMITED,11883
RELIANCE AROMATICS AND PETROCHEMICALS LIMITED,11890
RELIANCE BRANDS LIMITED,11901
RELIANCE COMMERCIAL DEALERS LIMITED,12011
Reliance Comtrade Private Limited,11909
RELIANCE CONTENT DISTRIBUTION LIMITED,11921
Reliance Corporate IT Park Limited,11887
RELIANCE EMINENT TRADING & COMMERCIAL PRIVATE,11910
RELIANCE FINANCIAL CORPORATION,22253
Reliance Gas Pipelines Limited,11684
"Reliance Holding USA, Inc.",23085
RELIANCE INDUSTRIAL INVESTMENTS AND HOLDINGS L,11742
Reliance Jio Infratel Private Limited,11919
Reliance Lifestyle Holdings Limited,11899
RELIANCE PAYMENT SOLUTIONS LIMITED,11878
Reliance Projects & Property Management Servic,12031
Reliance Prolific Commercial Private Limited,11897
RELIANCE RETAIL LIMITED,11679
RELIANCE SERVICES AND HOLDINGS LIMITED,11929
RELIANCE SMSL LIMITED,11891
RELIANCE STANDARD LIFE GLOBAL FUNDING II,23887
Reliance Strategic Business Ventures Ltd,12033
Reliance Universal Traders Private Limited,11911
Reliance Vantage Retail Limited,11880
RELIANCE WORLD TRADE PVT LTD,11898
Reliant Energy Inc,218
RELX Finance B.V.,16387
Remgro Jersey GBP Limited,12482
REN Finance B.V.,16349
RENA GmbH,7700
RenaissanceRe Finance Inc.,24113
Renasant Bank,23062
RENAULT DO BRASIL S.A.,4399
RENEW AKSHAY URJA LIMITED,11744
RENEW CLEAN ENERGY PRIVATE LIMITED,11894
RENEW MEGA SOLAR POWER PRIVATE LIMITED,11853
RENEW POWER LIMITED,11665
Renew Solar Energy (Jharkhand Three) Private L,12032
RENEW SOLAR ENERGY (KARNATAKA) PRIVATE LIMITED,11949
RENEW SOLAR ENERGY (TELANGANA) PRIVATE LIMITED,11847
RENEW SOLAR ENERGY (TN) PRIVATE LIMITED,12023
RENEW SOLAR POWER PRIVATE LIMITED,11761
RENEW WIND ENERGY (AP 3) PRIVATE LIMITED,12003
RENEW WIND ENERGY (AP) PRIVATE LIMITED,11831
RENEW WIND ENERGY (JADESWAR) PRIVATE LIMITED,11842
RENEW WIND ENERGY (JATH) LIMITED,11652
RENEW WIND ENERGY (KARNATAKA) PRIVATE LIMITED,11644
ReNew Wind Energy (Maharashtra) Private Limite,12000
RENEW WIND ENERGY (MP THREE) PRIVATE LIMITED,11996
RENEW WIND ENERGY (MP TWO) PRIVATE LIMITED,12026
RENEW WIND ENERGY (RAJASTHAN FOUR) PRIVATE LIM,11995
RENEW WIND ENERGY (RAJKOT) PRIVATE LIMITED,11625
ReNew Wind Energy (Shivpur) Private Limited,12037
RENEW WIND ENERGY (WELTURI) PRIVATE LIMITED,12036
RENEW WIND ENERGY DELHI PRIVATE LIMITED,11699
Renhe Commercial Holdings Company Limited,10409
Renoir CDO B.V.,16231
Renova Eolica Participacoes S.A.,4360
RenRe North America Holdings Inc.,22845
Renting Colombia S.A.,7319
Repsol Europe Finance SARL,15347
REPSOL OIL & GAS CANADA INC.,5443
Republic Bank & Trust Company,22349
"Republic Engineered Products, Inc.",21970
"Res-Care, Inc.",20488
RESIDENTIAL SECURE INCOME PLC,9834
RESIDEO FUNDING INC.,24746
"RESIDOMO, s.r.o.",7412
RESILIENCE RE LTD.,3924
RESILIENT PROPERTIES PROPRIETARY LTD,25629
Resolute FP US Inc.,21213
"Resona Bank, Limited.",13500
Resona Preferred Global Securities (Cayman) Li,14768
RESORTS WORLD LAS VEGAS LLC,24822
