Target Name,Target No.
"The Asahi Bank,Ltd.",13564
The Ascott Capital Pte Ltd,17824
The Babcock & Wilcox Company,22334
THE BANCORP BANK,24724
The Bank of Castile,22760
The Bank of East Asia (China) Limited,6430
"THE BANK OF FUKUOKA,LTD.",13502
The Bank of Holland,22425
"The Bank of Okinawa, Ltd.",12815
The Bank of Vernon,22348
The Bear Stearns Companies LLC,19158
THE BROOKLYN UNION GAS COMPANY,21652
The Bryn Mawr Trust Company,22752
THE BUSINESS BANK OF ST. LOUIS,22129
The Camden National Bank,22257
The Canada Life Assurance Company,5026
The Canada Life Assurance Company,5452
The Capita Group PLC,286
The Cleveland Electric Illuminating Company,21133
The Consumers' Waterheater Operating Trust,5071
"The Daishi Bank, Ltd.",13057
