Target Name,Target No.
"Nina Company III, LLC",24329
"NIPPON CAR SOLUTIONS CO., LTD.",13526
Nippon Miractran Company Limited,13654
Nippon Oil Finance (Netherlands) B.V.,16137
"NiSource Capital Markets, Inc.",21249
NiSource Finance Corp.,21651
NNK-PRIMORNEFTEPRODUKT AO,17254
NOBLE HOLDING (U.S.) LLC,24528
NOOR SUKUK COMPANY LTD,14962
NOOR TIER 1 SUKUK LIMITED,14984
NorCell Sweden Holding 2 AB (publ),17582
NorCell Sweden Holding 3 AB (publ),17583
Nordea Eiendomskreditt AS,16505
Nordea Hypotek AB,17538
Nordea Hypoteksbank Abp,8234
Nordea Kredit Realkreditaktieselskab,7905
Nordea Kreditforening,7889
"Nordea North America, Inc.",22097
Nordex Employee Holding GmbH,7846
Norican A/S,7917
Norican Global A/S,7918
NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,4330
North Battleford Power L.P.,5203
North Cement Co Ltd,6776
NORTH EASTERN ELECTRIC POWER CORPN LTD,11485
North Fork Capital Trust II,21342
NORTH NEW HYDE PARK BRANCH,23584
North Shore Community Bank & Trust Company,22132
North Shore Gas Company,21160
North Surrey Water Ltd,9089
Northbrook Bank & Trust Company,23067
Northern Blizzard Resources Inc.,5185
NORTHERN BORDER PIPELINE COMPANY,21570
NORTHERN GAS NETWORKS FINANCE PLC,9335
NORTHERN GAS NETWORKS LIMITED,9268
NORTHERN GATEWAY INFRASTRUCTURE SDN. BHD.,15981
Northern Natural Gas Company,21466
NORTHERN SOLAIRE PRAKASH PRIVATE LIMITED,11745
Northern Telephone Limited,5039
Northgate PLC,228
Northgroup Preferred Capital Corporation,22333
NORTHSTAR ASSET MANAGEMENT GROUP INC.,23796
"NORTHWEST FLORIDA TIMBER FINANCE, LLC",23930
"NORTHWESTERN ENERGY, L.L.C.",21048
"Northwind Holdings, LLC",22656
NORWEGIAN FINANS HOLDING ASA,16593
NOTENSTEIN FINANCE (GUERNSEY) LIMITED,10021
Notenstein La Roche Privatbank AG,5625
NOTRE DAME INTERMEDICA SAUDE S.A.,4383
NOTTING HILL GENESIS,9885
NOTTING HILL HOUSING TRUST,9460
Nova Asa Branca III Energia Renovaveis S.A.,4341
NOVA Gas Transmission Ltd.,4994
Nova Pontocom Comercio Eletronico S.A.,4280
NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,4444
NOVALIS S.A.S.,8568
Novartis Finance Corp.,22273
Novartis Finance S.A.,15201
Novartis Securities Investment Ltd,3869
NOVATEK FINANCE LIMITED,10999
Nove Mesto ONE Industrial Park II SK s.r.o.,18021
Novelis Sheet Ingot GmbH,7853
"NOVO BANCO, S.A.",17075
"NOVO BANCO, S.A.",14949
"Novo Banco, S.A.",15301
