ISSUER_NAME,No. 
DSW Inc.,19929
DeVry Inc.,19935
"Delek US Holdings, Inc.",19937
"Delphi Financial Group, Inc.",19938
Drew Industries Incorporated,19952
GAMING INNOVATION GROUP INC.,19957
"EXCO Resources, Inc.",19960
"Education Realty Trust, Inc.",19966
Entercom Communications Corp.,19985
"ARMOUR Residential REIT, Inc.",19986
Entertainment Properties Trust,19988
"Equinix, Inc.",19991
FBR & Co.,20007
FalconStor Software Inc,20014
FIRST DEFIANCE FINANCIAL CORP.,20026
"First Industrial, L.P.",20029
Frontier Oil Corporation,20047
"GSI Commerce, Inc.",20054
GSI Group Inc.,20055
Gastar Exploration Ltd.,20060
Gen-Probe Incorporated,20061
GenCorp Inc.,20062
"General Communication, Inc.",20064
"The Geo Group, Inc.",20066
"GeoResources, Inc.",20067
Georgia Gulf Corporation,20068
"STREAM GLOBAL SERVICES, INC.",20074
"Global Cash Access Holdings, Inc.",20075
Golden Star Resources Ltd.,20079
GRAMERCY PROPERTY TRUST INC.,20080
Hampshire First Bank,20098
"Aviat Networks, Inc.",20102
"Harte-Hanks, Inc.",20104
"Harvest Natural Resources, Inc.",20105
"Catalyst Health Solutions, Inc.",20110
Heckmann Corporation,20116
Hercules Incorporated,20119
PENDRELL CORPORATION,20140
"ICO, Inc.",20141
"IGI LABORATORIES, INC.",20143
