ISSUER_NAME,No. 
Vital Therapies Inc,23744
"Dominion Gas Holdings, LLC",23748
"GLP Capital, L.P.",23750
Summit Bank,23751
DELL TECHNOLOGIES INC.,23759
Plains GP Holdings LP,23760
"Rialto Holdings, LLC",23761
"Ashford Hospitality Prime, Inc.",23762
ACUSHNET COMPANY,23772
"American Residential Properties OP, L.P.",23773
99 CENTS ONLY STORES LLC,23774
TransCanada American Investments Ltd.,23775
"ESH HOSPITALITY, INC.",23777
ALLEGIANCE BANK,23778
"AVALANCHE BIOTECHNOLOGIES, INC.",23782
NCR Escrow Corp.,23783
ARCH CAPITAL GROUP (U.S.) INC,23784
Agrium U.S. Inc,23785
Endo Finance Co.,23786
"BRIGHTVIEW LANDSCAPES, LLC",23787
"CAMERON LNG, LLC",23788
NATIXIS US MEDIUM-TERM NOTE PROGRAM LLC,23789
NORTHSTAR ASSET MANAGEMENT GROUP INC.,23796
Lightship Tankers IV LLC,23799
"EarthLink, LLC",23804
OUTDOOR INC.,23806
CBS Outdoor Americas Capital LLC,23809
Verizon Virginia LLC,23811
FWCT-2 Escrow Corporation,23817
Starwood Waypoint Residential Trust,23820
CROSSFIRST BANK,23822
"PARSLEY ENERGY, LLC",23825
Coupons.com Incorporated,23828
New Media Investment Group Inc.,23829
Rubicon Project Inc,23830
BANCFIRST,23835
GRUBHUB HOLDINGS INC.,23844
MPH ACQUISITION HOLDINGS LLC,23848
GYP HOLDINGS III CORP.,23849
"Mine Safety Appliances Company, LLC",23857
