ISSUER_NAME,No. 
USAir 1993-A Pass Through Trusts,21340
"Wal-Mart Stores, Inc Pass Through Trusts",21341
North Fork Capital Trust II,21342
M&T Capital Trust III,21343
City National Bank,21344
USF&G Capital I,21345
News America Incorporated,21346
Consolidated Rail Corporation 1995-A Pass Thro,21347
Chase Capital II,21348
"GCI, Inc.",21349
"HSB Group, Inc.",21350
HSB Capital I,21351
United Airlines 1993-A Pass Through Trusts,21352
USAir 1989-A Pass Through Trusts,21353
Central Fidelity Capital Trust I,21354
Chase Capital III,21355
Conseco Financing Trust II,21356
Conseco Financing Trust III,21357
M&T Capital Trust I,21358
First Maryland Capital II,21359
"The Multicare Companies, Inc.",21360
"Chase Bank USA, National Association",21361
MBNA Capital B,21362
MIC Financing Trust I,21363
NationsBank Capital Trust III,21364
NTC Capital I,21365
"ICG Services, Inc.",21366
DIVA Systems Corporation,21367
"SUSA Partnership, L.P.",21368
National Commerce Capital Trust I,21369
L-3 Communications Corporation,21370
Transamerica Capital II,21371
U. S. BANCORP CAPITAL I,21372
Provident Capital Trust I,21373
Ocwen Capital Trust I,21374
"THE SERVICEMASTER COMPANY, LLC",21375
LIN Television Corporation,21376
Highwoods Realty Limited Partnership,21377
Wachovia Capital Trust II,21378
NTC Capital II,21379
