Target Name,Target No.
Gas District Cooling (Putrajaya) Sdn Bhd,15871
"Gas Natural Capital Markets, S.A.",8063
"Gas Natural del Oriente S.A., ESP",7277
Gas Natural Fenosa Chile SpA,5788
"Gas Natural Mexico, S.A. de C.V.",15638
Gases de Occidente S.A. E.S.P.,7332
gategroup Finance (Luxembourg) S.A.,15235
GATES GLOBAL LLC,23940
Gateway Casinos & Entertainment Limited,5196
GATWICK AIRPORT FINANCE PLC,9770
GATWICK AIRPORT LIMITED,9221
GATWICK FUNDING LIMITED,12453
GAYATRI ENERGY VENTURES PRIVATE LIMITED,11824
GAZ FINANCE PLC,9934
GAZIT GLOBE ISRAEL (DEVELOPMENT) LTD,11176
GAZPROM GAZORASPREDELENIYE SEVER AO,17256
Gazprom International S.A.,15155
GAZPROMBANK AO,17207
Gazstream S.A.,15161
GB SERVICES BERHAD,15894
GB SOCIAL HOUSING (HOLDINGS) LIMITED,9894
GB SOCIAL HOUSING PLC.,9538
GB3 Sdn. Bhd.,15813
GBL Verwaltung S.A.,15258
"GC FTPYME PASTOR 4, FONDO DE TITULIZACION DE A",8066
"GC FTPYME SABADELL 6, FONDO DE TITULIZACION DE",8077
GC Treasury Center Company Limited,18169
GCE Covered Bonds,8520
GCL-Poly (Suzhou) Energy Limited,6897
GCL-POLY Limited,6707
GCP Student Living Plc,9580
GCS Holdco Finance I S.A.,15273
GCX LIMITED,3912
GDF SUEZ ALLIANCE GIE,8430
GDF Suez Energy Romania SA,17125
GE Capital Australia Funding Pty Ltd,3266
GE Capital Canada Funding Company,5015
GE Capital Canada Retailer Financial Services,5014
GE Capital European Funding,10934
GE Capital Franchise Finance Corporation,21688
"GE CAPITAL FUNDING, LLC",24987
GE CAPITAL INTERNATIONAL FUNDING COMPANY,11054
GE Capital Retail Bank,22706
GE Capital Services India,11494
GE CAPITAL TREASURY SERVICES (U.S.) LLC,24263
GE Capital Trust I,22980
GE Capital Trust II,22996
GE Capital Trust III,22995
GE Capital Trust IV,22993
GE Capital Trust V,22994
GE Capital UK Funding,10939
GE CORPORATE FINANCE BANK S.C.A.,8492
GE Japan Funding K.K.,13522
GE SCF,8524
GE SEACO FINANCE SRL,3712
Geberit International B.V.,16384
GELF Bond Issuer I S.A.,15263
Gemdale Ever Prosperity Investment Limited,10581
"GEMINI SECURITIZATION CORP., LLC",22271
GEMSTONES INTERNATIONAL LIMITED,25385
GENEBANQUE S.A.S.,8614
GENEL ENERGY FINANCE 2 LIMITED,12498
GENEL ENERGY FINANCE 4 PLC,9946
GENERACION EOLICA INDIA LIMITED,11756
Generacion Mediterranea S.A.,2812
"General Communication, Inc.",20064
General Motors Austria GmbH,2869
"General Motors Financial Company, Inc.",18843
General Motors Financial International B.V.,16375
General Motors Financial of Canada Ltd.,5297
Generali Bank AG,2879
Generali Biztosito Zrt.,10683
Generali Finance B.V.,16166
Generandes Peru S.A.,16800
GENFINANCE II PLC,9438
GENM CAPITAL BERHAD,15982
GENNEIA S.A.,2802
"GenOn Americas Generation, LLC",21677
"GenOn REMA, LLC.",21637
Genossenschaft Emissionszentrale fuer gemeinnu,5586
GENTING NEW YORK LLC,23239
GENTING RMTN BERHAD,16021
GENTOO GROUP LIMITED,9705
