Target Name,Target No.
NGPL PIPECO LLC,22543
Nightingale Cre 2018-1 Limited,12499
"NIHON HOSHOU Co.,Ltd.",13194
NII Capital Corp.,22894
NII International Telecom S.C.A.,15259
"Nikkei Kakoh. CO., Ltd",13652
"Nina Company III, LLC",24329
"NIPPON CAR SOLUTIONS CO., LTD.",13526
Nippon Miractran Company Limited,13654
Nippon Oil Finance (Netherlands) B.V.,16137
"NiSource Capital Markets, Inc.",21249
NiSource Finance Corp.,21651
NNK-PRIMORNEFTEPRODUKT AO,17254
NOBLE HOLDING (U.S.) LLC,24528
NOOR SUKUK COMPANY LTD,14962
NOOR TIER 1 SUKUK LIMITED,14984
NorCell Sweden Holding 2 AB (publ),17582
NorCell Sweden Holding 3 AB (publ),17583
Nordea Eiendomskreditt AS,16505
Nordea Hypotek AB,17538
Nordea Hypoteksbank Abp,8234
