ISSUER_NAME,No. 
Sinochem Offshore Capital Company Limited,25230
CNOOC Finance (2011) Limited,25231
KGI ALLIANCE CORPORATION,25232
Franshion Development Limited,25233
UA Finance (BVI) Limited,25234
CNPC (HK) Overseas Capital Ltd,25235
Big Will Investments Limited,25236
Newford Capital Limited,25237
Mega Advance Investments Limited,25238
Wharf Finance (2014) Limited,25239
Value Success International Limited,25240
Silvery castle Ltd,25241
RBTT Finance Limited,25242
CHEUNG KONG BOND SECURITIES LIMITED,25243
Henderson Land MTN Limited,25244
Skysea International Capital Management,25245
LS Finance (2017) Limited,25246
HLP Finance Limited,25247
HOWES CAPITAL LIMITED,25248
Magnesita Finance Ltd.,25249
CNPC General Capital Limited,25250
PCCW Capital No. 4 Limited,25251
Talent Yield Investments Limited,25252
CNOOC Finance (2012) Limited,25253
K. Wah International Financial Services Limite,25254
China Merchants Finance Company Limited,25255
FPT Finance Limited,25256
FPC Finance Limited,25257
COSL Finance (BVI) Limited,25258
Sun Hung Kai & Co. (BVI) Limited,25259
LS Finance (2022) Limited,25260
RH International Finance Limited,25261
Franshion Investment Limited,25262
China Taiping Capital Limited,25263
Golden Assets International Finance Limited,25264
COSCO Finance (2011) Limited,25265
FPMH Finance Limited,25266
ESTATE SKY LIMITED,25267
Cheung Kong Bond Securities (03) Limited,25268
Caifu Holdings Limited,25269
