Target Name,Target No.
Remgro Jersey GBP Limited,12482
REN Finance B.V.,16349
RENA GmbH,7700
RENAULT DO BRASIL S.A.,4399
RENEW AKSHAY URJA LIMITED,11744
Renoir CDO B.V.,16231
Renova Eolica Participacoes S.A.,4360
RenRe North America Holdings Inc.,22845
Renting Colombia S.A.,7319
Repsol Europe Finance SARL,15347
REPSOL OIL & GAS CANADA INC.,5443
"Res-Care, Inc.",20488
RESIDENTIAL SECURE INCOME PLC,9834
RESIDEO FUNDING INC.,24746
"RESIDOMO, s.r.o.",7412
RESILIENCE RE LTD.,3924
"Resona Bank, Limited.",13500
Resona Preferred Global Securities (Cayman) Li,14768
RESORTS WORLD LAS VEGAS LLC,24822
RESOURCE CAPITAL TRUST II,20923
RESPARCS FUNDING II LIMITED PARTNERSHIP,12402
