Target Name,Target No.
FortisBC Holdings Inc.,5036
FortisBC Inc.,5079
Fortress Paper Ltd.,4783
Forum Servicios Financieros S.A.,5762
Fospar S.A. Fertilizantes Fosfatados do Parana,4452
FOSSE MASTER ISSUER PLC,9317
Foz Centro Norte S.A.,4290
Foz do Rio Claro Energia S.A.,4561
FPC Finance Limited,25257
FPC Treasury Limited,25283
FQM (Akubra) Inc,5315
FQM (Akubra) Inc.,5255
FREEPORT MINERALS CORPORATION,24127
Friesland Bank N.V.,16149
FSBS CAPITAL TRUST I,21913
F-Secure Oyj,8191
FTA Santander Consumer Spain Auto 06,8062
"FTD Companies, Inc.",23733
FTPYME BANCAJA 3 Fondo de Titulizacion de Acti,8033
"Fuji Xerox Co., Ltd.",13495
"Fujian Fuqing Nuclear Power Co., Ltd.",7205
