Target Name,Target No.
MAGELLAN SPOLKA AKCYJNA,16951
"MAGIC MERGECO, INC.",25154
Magna International Investments S.A.,15339
Mahindra Bebanco Developers Limited,11653
MAHINDRA HAPPINEST DEVELOPERS LIMITED,11817
MAHINDRA HOMES PRIVATE LIMITED,11675
Mahindra Integrated Township Limited,11737
MAHINDRA RURAL HOUSING FINANCE LIMITED,11668
MAHINDRA STEEL SERVICE CENTRE LIMITED,11933
Mahindra Vehicle Manufacturers Ltd,11583
MAHINDRA WORLD CITY (JAIPUR) LIMITED,11643
MAHINDRA WORLD CITY DEVELOPERS LIMITED,11718
Mahogany Capital Limited,3336
MAHOPAC BANK,22762
MAIL.RU FINANCE OOO,17296
MAINSOURCE BANK,22095
Maithon Power Ltd,11617
Majapahit Holding B.V.,16249
MAJID AL FUTTAIM HOLDING (L.L.C),2702
MALINA FINANCING 2013-1 PLC,9605
Man AP Strategic Ltd,3870
