ISSUER_NAME,No. 
WESTERN ALLIANCE BANK,22673
IBERIABANK Statutory Trust IV,22674
CT PREFERRED TRUST II,22675
Capstead Mortgage Trust I,22676
AMERIANA CAPITAL TRUST I,22677
Southwest Community Bank,22679
Sun National Bank,22680
AMNEAL PHARMACEUTICALS LLC,22683
Dubuque Bank & Trust Company,22684
CIT Bank,22685
LIVE OAK BANKING COMPANY,22686
Libertyville Bank & Trust Company,22687
Sallie Mae Bank,22689
Clearwire Communications LLC,22690
Volkswagen Bank Usa,22691
QUAD CITY BANK AND TRUST COMPANY,22692
HANMI BANK,22693
THE HOME SAVINGS AND LOAN COMPANY,22694
"REPUBLIC BANK, INC.",22695
BofI Federal Bank,22696
WR Berkley Capital Trust II,22697
"Anheuser-Busch InBev Worldwide, Inc.",22698
"Fresenius U.S. Finance II, Inc.",22699
Rexnord Corporation,22700
HPK Financial Corporation,22701
FEDERAL EXPRESS CORPORATION,22702
MIDLAND STATES BANK,22703
"Maritimes & Northeast Pipeline, L.L.C.",22704
UniCredit Bank AG,22705
GE Capital Retail Bank,22706
Shoko Chukin Bank Ltd,22707
FRANKLIN SYNERGY BANK,22708
"WILMINGTON SAVINGS FUND SOCIETY, FSB",22709
"ATLANTIC CAPITAL BANK, NATIONAL ASSOCIATION",22721
Bryan Bank & Trust,22722
Legacy Bank,22723
Community Bank,22724
Wheaton Bank & Trust,22725
Enterprise Bank & Trust,22726
FORTUNE BANK,22727
