Target Name,Target No.
AMT MANAGEMENT LIMITED,3565
AN Structured Issues Limited,12391
ANA Aeroportos de Portugal S.A.,17060
ANAPTYXI II PLC,9696
ANGEL TRAINS GROUP LIMITED,9255
"ANGI GROUP, LLC",25054
Angie's List Inc,23322
"Anji Leasing Co., Ltd.",7222
ANLLIAN Capital Limited,10632
ANNES GATE PROPERTY PLC,9124
ANSTOCK II LIMITED,14948
Anstock Limited,10465
ANTARA STEEL MILLS SDN. BHD.,15843
ANZ Capital Trust III,21968
ANZ National (Int'l) Limited,9287
ANZ New Zealand (Int'l) Limited,16671
ANZ Wealth Australia Limited,3387
APERGY CORPORATION,24639
APL REALTY HOLDINGS PTE. LTD.,10882
APT Pipelines Limited,3423
ARA BINTANG BERHAD,15915
