ISSUER_NAME,No. 
Banca Italease Capital Trust (Delaware),22074
"SESI, LLC",22075
"Community Bank, N.A.",22076
Hartford Life Insurance Company,22077
Lake Forest Bank and Trust Company,22079
Entegra Bank,22080
MERCANTILE BANK OF MICHIGAN,22081
UBS Preferred Funding Trust V,22082
ANCHOR CAPITAL TRUST III,22083
Bank Hapoalim B.M.,22084
NEIMAN MARCUS GROUP LTD LLC,22085
"Avis Budget Car Rental, LLC",22086
Natixis,22087
Flagstar Bank FSB,22088
"MULTI PACKAGING SOLUTIONS, INC.",22089
PARAGON OFFSHORE DRILLING LLC,22090
WMG ACQUISITION CORP.,22091
NEW YORK COMMUNITY BANK,22092
DZ BANK AG Deutsche Zentral-Genossenschaftsban,22093
BAC Capital Trust XI,22094
MAINSOURCE BANK,22095
SL Green Operating Partnership LP,22096
"Nordea North America, Inc.",22097
Commerzbank AG (NY Branch),22098
"MB Financial Bank, N.A.",22099
Countrywide Bank FSB,22100
Svenska Handelsbanken Delaware Inc,22101
Edgen Murray Corporation,22102
Trustmark National Bank,22103
Credit Industriel Et Commercial (NY Branch),22104
Fortis Bank SA/NV,22105
Stifel Financial Capital Trust II,22106
ILFC E-Capital Trust II,22107
SUNOCO LOGISTICS PARTNERS OPERATIONS L.P.,22108
BVBC CAPITAL TRUST III,22109
First Southern Bank,22110
"FIRST SENTRY BANK, INC.",22111
The Washington Trust Company of Westerly,22112
E*TRADE Bank,22113
Hartford Life Institutional Funding,22114
Sovereign Capital Trust VI,22115
Hinsdale Bank & Trust Company,22116
"THE HILLMAN GROUP, INC.",22118
BNP Paribas SA,22119
SILVERGATE BANK,22120
First American Bank,22121
