Target Name,Target No.
Mateus Supermercados S.A.,4361
"MATSON ALASKA, INC.",19213
"Matson Navigation Company, Inc.",21187
Matterhorn Telecom Holding S.A.,15316
Matterhorn Telecom S.A.,15317
Maverick Drilling and Exploration Ltd,3497
MAX LIFE INSURANCE COMPANY LIMITED,12039
Max USA Holdings Ltd,22314
Maxeda DIY Holding B.V.,16389
"MAXIMA GRUPE, UAB",15086
MAXION WHEELS,18619
MAXIS BROADBAND SDN. BHD.,15991
Maxwealth Finance Leasing Ltd.,7146
MAYBANK AGEAS HOLDINGS BERHAD,15952
Maybank Islamic Berhad,15883
MAYBANK KIM ENG HOLDINGS LIMITED,17730
MAYBANK SHARED SERVICES SDN. BHD.,15960
MAYBANK SINGAPORE LIMITED,17991
Mazoon Assets Company S.A.O.C.,16741
Mazoon Electricity Company SAOC,16740
MB Finance AB (publ),17552
"MB Financial Bank, N.A.",22099
MB FUNDING LUX SA,15372
"MBIA Global Funding, LLC",21784
MBIA Insurance Corporation,21806
MBNA Capital B,21362
MBSB BANK BERHAD,15878
MBT Systems GmbH,7751
MC FINANCE & CONSULTING ASIA PTE. LTD.,17925
MC FINANCE AUSTRALIA PTY LTD,3569
MCB Treasury AB,17592
MCC Holding (Hong Kong) Corporation Limited,10461
McGraw-Hill Companies Inc,8
"McGraw-Hill Education, Inc.",24249
MCGRAW-HILL GLOBAL EDUCATION INTERMEDIATE HOLD,23552
Mead Products LLC,23401
Meadowhall CMR Finance plc,9128
MEASAT BROADCAST NETWORK SYSTEMS SDN. BHD.,15809
"MEC Finance USA, Inc.",21220
"Meccanica Holdings USA, Inc.",22665
MEDALLION TRUST SERIES 2004-1G,3324
MEDALLION TRUST SERIES 2005-1G,3343
MEDALLION TRUST SERIES 2005-2G,3350
Medallion Trust Series 2006-1G,3364
MEDCO BELL PTE. LTD.,17983
MEDCO ENERGI GLOBAL PTE. LTD.,17932
Medco Laurel Tree Pte. Ltd.,17995
Medco Oak Tree Pte. Ltd,17975
Medco Platinum Road Pte Ltd,17963
Medco Strait Services Pte Ltd,17939
"MEDIA GENERAL FINANCING SUB, INC.",24036
MediaOne Financing I,21452
MediaOne Financing II,21465
Mediaset N.V.,12373
Mediaset Spa,1494
MedicX Fund Limited,9986
Mediobanca International (Luxembourg) SA,15106
Mediocredito Italiano S.p.A.,12147
Mediocredito Lombardo SpA,12193
Mediocreval S.p.A.,12256
Medioleasing Spa in Amministrazione Straordina,12274
Medtronic Global Holdings S.C.A.,15314
Medusa Mining Limited,2922
MEENAKSHI ENERGY LIMITED,11564
Mega Advance Investments Limited,25238
"MegaboxJoongAng, Inc.",14529
Meggitt Aircraft Braking Systems Corporation,21996
MEGLOBAL CANADA ULC,5450
Mei Nian Investment Limited,25411
"Meiji Co., Ltd.",13221
Meiji Yasuda Life Insurance Company,13538
Melancthon Wolfe Wind Inc.,5341
MELCO CROWN (PHILIPPINES) RESORTS CORPORATION,16853
Melco Finance Limited,25275
Mello Credito - Sociedade Financeira para Aqui,17051
Mellon Capital III,22190
MELLON CAPITAL IV,22376
Mellon Funding Corporation,21622
Melosa Builders & Developers Private Limited,11963
MEMBERS EQUITY BANK LIMITED,3390
Memc Electronic Materials,1468
MENARA ABS BERHAD,15866
Mens Buildcon Private Limited,11964
