ISSUER_NAME,No. 
GREAT WESTERN BANK,25183
Nuevo Banco Comercial S.A.,25186
HRU S.A.,25187
NAVIOS SOUTH AMERICAN LOGISTICS INC.,25188
UNIDAD PUNTA DE RIELES SOCIEDAD ANONIMA,25190
Cledinor S.A.,25191
"INVERSIONES SELVA, C.A.",25192
"Petroleos de Venezuela, S.A.",25195
Corporacion Andina de Fomento SA,25196
Phoenix Group Holdings,25199
New World Capital Finance Limited,25200
Hysan (MTN) Limited,25201
Cheung Kong Infrastructure Finance (BVI) Limit,25202
CLP Power Hong Kong Financing Limited,25203
NWD FINANCE (BVI) LIMITED,25204
The Hongkong Land Notes Company Limited,25205
PCCW-HKT Capital No.2 Limited,25206
Central American Bottling Corporation,25207
Petrodrill Four Limited,25208
PETRODRILL FIVE LIMITED,25209
PCCW Capital No. 3 Limited,25210
CNOOC Finance (2003) Limited,25211
PCCW-HKT Capital No. 3 Limited,25212
JGSH Philippines Ltd.,25213
Fortis Capital (Asia) Limited,25214
GTL Trade Finance Inc.,25215
Gain Silver Finance Limited,25216
Mirant JPSCO Finance Ltd.,25217
Sherson Limited,25218
"CMHI Finance (BVI) Co., Ltd.",25219
COSCO Pacific Finance (2003) Company Limited,25220
Power Regal Group Limited,25221
Fita International Ltd,25222
EFG-HERMES MENA SECURITIES LIMITED,25223
Sino-Ocean Land Capital Finance Limited,25224
Glory River Holdings Limited,25225
PCCW-HKT Capital No. 4 Limited,25226
Gerdau Trade Inc.,25227
Billion Express Investments Limited,25228
Gold Fields Orogen Holding (BVI) Limited,25229
