Target Name,Target No.
Twisto FinCo s.r.o.,7421
Tyco Electronics Group S.A.,15131
Tyseley Finance PLC,9043
U MICROFINANCE BANK LIMITED,16940
U. S. BANCORP CAPITAL I,21372
U. S. Steel Canada,5007
"U.S. Auto Parts Network, Inc.",19554
U.S. Bank National Association,21442
U.S.B. Realty Corp.,22237
UA Finance (BVI) Limited,25234
UAL Corporation Capital Trust I,21492
UBI Banca International S.A.,15148
UBI Banca Private Investment S.p.A.,12242
UBI Leasing Spa,12271
UDUPI KASARGODE TRANSMISSION LIMITED,12029
UDX Special Purpose Company,13530
UFJ Finance Aruba A.E.C.,3703
UIL HOLDINGS CORPORATION.,24268
UK POWER NETWORKS HOLDINGS LIMITED,9474
UK RENTS (NO. 1) PLC,9029
ULC Co,9390
