Target Name,Target No.
ENERGEST S.A.,4279
ENERGIE RENOUVELABLE BROOKFIELD INC.,5112
ENERGUATE TRUST,10044
ENERGY EFFICIENCY SERVICES LIMITED,11743
ENERGY FUTURE COMPETITIVE HOLDINGS COMPANY LLC,21077
ENERPEIXE S.A.,4409
ENGIE Transmissao de Energia Participacoes S.A,4511
ENN Clean Energy International Investment Limi,7139
Enogex LLC,21332
ENTIDAD DE DESARROLLO A LA PEQUENA Y MICRO EMP,16841
ENTRA EIENDOM AS,16561
ENTRA KULTUR 1 AS,16575
ENTREPRISES CARA LIMITEE,5409
ENVEN ENERGY CORPORATION,24461
Environmental ESG Participacoes S.A.,4546
ENW FINANCE PLC,9404
EOLICA HERMENEGILDO II S.A.,4357
EON Bank Berhad,15822
Epistar Corporation,18380
Equa bank a.s.,7411
EQUATE Petrochemical B.V.,16425
