Target Name,Target No.
Bankinter Emisiones S.A.,8027
Bankinter Finance Ltd,14708
Bankinter International Cayman Limited,14681
Bankinter Sociedad de Financiacion S.A.,8081
Banknorth Capital Trust I,21482
Bankoa S.A.,8009
BankPozitif Kredi ve Kalkinma Bankasi A.S.,18245
Banque Accord,8449
Banque Centrale de Compensation,8466
BANQUE CIC NORD OUEST S.A.,8588
Banque de Bretagne SA,8383
Banque europeenne d'investissement,15100
"Banque Federative du Credit Mutuel, Societe An",8403
Banque Marocaine du Commerce Exterieur S.A.,15436
Banque Palatine S.A.,8437
Banque PSA Finance S.A.,8440
Banque Solfea S.A.,8510
BANQUE TUNISO KOWETIENNE S.A.,18189
Banrisul S.A. Corretora de Valores Mobiliarios,4134
BAO-TRANS ENTERPRISES LIMITED,10511
Baoxin Auto Finance I Limited,25363
