Target Name,Target No.
Versartis Inc,23859
VFH PARENT LLC,24441
Via Brasil MT 246 Concessionaria de Rodovias S,4563
VIACOM 18 MEDIA PRIVATE LIMITED,11705
Vianorte S.A.,4215
ViaPaulista S.A.,4427
Vias Chile S.A.,5802
"VIASYSTEMS, INC.",21402
VICAL INCORPORATED,19300
VICTORIA POWER NETWORKS (FINANCE) PTY LTD,3636
VICTORIA POWER NETWORKS PTY LTD,3397
VidaCaixa S.A.,8008
Vier Gas Transport GmbH,7707
ViewPoint Financial Group Inc.,19276
"VIG FUND uzavreny investicni fond, a.s.",7416
VIOM NETWORKS LIMITED,11592
VISANT CORPORATION,21930
VIST Bank,22728
Vital Therapies Inc,23744
VITALIC HEALTH PRIVATE LIMITED,12015
VITP PRIVATE LIMITED,11767
