ISSUER_NAME,No. 
GE Capital Trust IV,22993
GE Capital Trust V,22994
GE Capital Trust III,22995
GE Capital Trust II,22996
ORIGIN BANK,23000
"Ameriprise Bank, FSB",23003
BANK OF THE OZARKS,23006
"Hillbrook Insurance Company, Inc.",23007
Thermon Industries Inc,23008
GERMAN AMERICAN BANCORP,23010
THL Credit Inc,23012
UNITED BANK & TRUST,23016
SBA SENIOR FINANCE II LLC,23017
"Affiliated Computer Services, Inc.",23018
"RUBY PIPELINE, L.L.C.",23022
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",23024
Deutsche Bank Capital Trust V,23026
SAN JOSE WATER COMPANY,23027
"APOLLO GLOBAL MANAGEMENT, INC.",23029
GREAT-WEST LIFECO FINANCE (DELAWARE) LP,23030
Vringo Inc,23035
"BIMBO BAKERIES USA, INC.",23036
"Hudson Pacific Properties, Inc.",23037
"EXCEL TRUST, L.P.",23042
"CF Industries,Inc.",23043
ABN AMRO Funding USA LLC,23047
"HUDSON PACIFIC PROPERTIES, L.P.",23048
"ALTA WIND HOLDINGS, LLC",23050
"APEX TOOL GROUP, LLC",23051
"WILLIAM LYON HOMES, INC.",23053
FORESIGHT ENERGY LLC,23055
CenterState Bank of Florida National Associati,23056
"Capital Bank, National Association.",23057
Gordmans Stores Inc,23058
"Tower Automotive Holdings USA, LLC",23061
Renasant Bank,23062
"Forum Energy Technologies, Inc.",23063
Home Federal Bank (Sioux Falls),23064
Great-West Lifeco Finance (Delaware) LP II,23065
"Healthcare Trust of America, Inc.",23066
