ISSUER_NAME,No. 
Dhana Nakorn Finance & Securities Public Compa,18115
Ayudhya Capital Auto Lease Public Company Limi,18116
Easy Buy Public Company Limited,18118
Mercedes-Benz (Thailand) Limited,18119
SCB Securities Company Limited,18121
Honda Leasing (Thailand) Company Limited,18122
"Toyota Leasing (Thailand) Co., Ltd.",18123
Ratchaburi Electricity Generating Company Limi,18124
Holcim Capital (Thailand) Limited,18125
Muang Thai Life Assurance Public Company Limit,18126
True Move Company Limited,18127
Thai ORIX Leasing Company Limited,18128
Credit Agricole Corporate and Investment Bank,18132
Bangkok Mass Transit System Public Company Lim,18135
Star Petroleum Refining Public Company Limited,18136
Thai Thamrong Finance and Securities Company L,18139
ICBC (Thai) Leasing Company Limited,18140
Sumitomo Mitsui Banking Corporation,18141
KT ZMICO Securities Company Limited,18142
VGI Global Media PCL,18145
B.Grimm BIP Power 2 Company Limited,18147
True Move H Universal Communication Company Li,18149
TISCO Tokyo Leasing Company Limited,18150
Advanced Wireless Network Company Limited,18152
CFG Services Company Limited,18154
CPF (Thailand) Public Company Limited,18157
dtac TriNet Company Limited,18158
Center Auto Lease Company Limited,18161
Amata B. Grimm Power SPV 1 Company Limited,18163
PTTEP Treasury Center Company Limited,18164
Krungsriayudhya Card Company Limited,18165
Gulf Energy Development Public Company Limited,18166
Thaioil Treasury Center Company Limited,18167
B.Grimm BIP Power 1 Company Limited,18168
GC Treasury Center Company Limited,18169
SCG CERAMICS PUBLIC COMPANY LIMITED,18170
RISLAND (THAILAND) COMPANY LIMITED,18171
Indorama Ventures Global Services Limited,18173
PTT TREASURY CENTER COMPANY LIMITED,18174
CITICORP LEASING (THAILAND) COMPANY LIMITED,18176
