ISSUER_NAME,No. 
MDC Partners Inc.,23858
Versartis Inc,23859
"GEO CORRECTIONS HOLDINGS, INC.",23860
"JONES ENERGY HOLDINGS, LLC",23864
LONESTAR RESOURCES AMERICA INC.,23865
"CAESARS GROWTH PROPERTIES HOLDINGS, LLC",23866
"COGENT COMMUNICATIONS FINANCE, INC.",23868
"BEX PORTFOLIO, LLC",23879
RELIANCE STANDARD LIFE GLOBAL FUNDING II,23887
SUNCOKE ENERGY PARTNERS FINANCE CORP.,23888
WASHINGTON PRIME GROUP INC.,23891
Zafgen Inc,23893
"FirstEnergy Transmission, LLC",23895
"WASHINGTON PRIME GROUP, L.P.",23896
CIVEO CORPORATION,23897
VERIZON MARYLAND LLC,23899
"ORTHO-CLINICAL DIAGNOSTICS, INC.",23901
CEMEX MATERIALS LLC,23906
ECLIPSE RESOURCES CORPORATION,23907
ENDO FINANCE LLC,23909
RAYONIER A.M. PRODUCTS INC.,23910
WPP CP LLC,23913
LENDINGCLUB CORPORATION,23914
"ENOVA INTERNATIONAL, INC.",23916
Volkswagen Group of America Finance LLC,23918
"CTR PARTNERSHIP, L.P.",23920
"NAVIENT, LLC",23922
"APOLLO MANAGEMENT HOLDINGS, L.P.",23923
KKR GROUP FINANCE CO. III LLC,23924
"NORTHWEST FLORIDA TIMBER FINANCE, LLC",23930
Minerva Neurosciences Inc,23932
"TERRAFORM POWER, INC.",23935
"SPARK ENERGY, INC.",23936
"SBA TELECOMMUNICATIONS, LLC",23938
Verizon Pennsylvania LLC,23939
GATES GLOBAL LLC,23940
"AIRTRAN HOLDINGS, LLC",23942
CoBiz Bank,23943
pdvWireless Inc,23946
GOOD TECHNOLOGY CORPORATION,23951
