ISSUER_NAME,No. 
CLX Communications AB (publ),17641
Velcora Holding AB,17642
Stillfront Group AB (publ),17646
Volvo Car AB,17648
Bluestep Bank AB (publ),17649
Garo AB,17651
AddLife AB,17655
SPP Pension & Forsakring AB (publ),17664
Embracer Group AB,17668
Ellevio AB,17670
SCA Hygiene AB,17672
Collector Bank AB,17675
SBB i Norden AB,17676
Akademibokhandeln Holding AB (publ),17678
Nackahusen Holding AB,17679
Instalco AB,17681
Mariefjard AB (publ),17683
Balder Finska Otas AB,17684
Sedana Medical AB (publ),17686
Danske Hypotek AB (publ),17687
Offentliga Hus i Norden AB (publ),17691
Galliaden Holding AB (publ),17693
Avanza Bank AB,17696
Epiroc AB,17697
Radisson Hotel Holdings AB,17699
Qliro AB,17704
AURELIUS Equity Opportunities AB,17705
K-Fast Holding AB,17706
Valerum AB,17708
Verigy Ltd,17718
CITIC Envirotech Ltd,17723
CWT LIMITED,17727
MAYBANK KIM ENG HOLDINGS LIMITED,17730
STATS CHIPPAC PTE. LTD.,17734
ASCOTT RESIDENCE TRUST,17737
k1 Ventures Limited,17757
Silverlake Axis Ltd,17766
CDL Hospitality Trusts,17778
LINKTONE LTD.,17781
Toshiba Capital (Asia) Ltd.,17787
