Target Name,Target No.
"GRAY ESCROW, INC.",24763
GREAT PLACES HOUSING GROUP LIMITED,9543
GREATER TORONTO AIRPORTS AUTHORITY,5025
Green Infra Corporate Solar Limited,11697
GREEN INFRA WIND FARM ASSETS LIMITED,11755
Green Infra Wind Power Generation Limited,11827
"Green Mountain Coffee Roasters, Incorporated",19425
Green Timbers Limited Partnership,5175
Greenbay Properties Ltd,15510
Greif Luxembourg Finance S.C.A.,15228
GRENKE FINANCE PUBLIC LIMITED COMPANY,10941
Griffiths McBurney L.P.,5117
GRIFOLS ESCROW ISSUER S.A.,8176
Ground International Development Limited,10206
Group Five Construction Proprietary Limited,25581
GROUPAMA BANQUE S.A.,8435
GROUPAMA SA,8462
Groupe Auchan S.A.,8450
GROUPE DE JEUX AMAYA INC.,5190
GROUPE DES ASSURANCES DU CREDIT MUTUEL SA,8626
GROUPE RESTAURANTS IMVESCOR INC.,4953
