Target Name,Target No.
First National Bank of Namibia Limited,16036
First Puerto Rico Tax Advantaged Target Maturi,17018
First Securities ASA,16553
"FIRST SENTRY BANK, INC.",22111
FIRST SOUTH PREFERRED TRUST I,21887
First Tennessee Bank National Association,21800
First Tennessee Capital II,21899
First Western Capital Trust I,21522
FirstLight Hydro Generating Company,21685
FLCT TREASURY PTE. LTD.,17994
"FLEX ACQUISITION COMPANY, INC.",24444
FlexiGroup Limited,3117
"FLORIDA GAS TRANSMISSION COMPANY, LLC",21151
FMR LLC,21554
FOLHA LARGA 1 HOLDING S.A.,4521
Forcepoint LLC,24298
Forces Motrices de Mauvoisin SA,5584
"Ford Automotive Finance (China) Co., Ltd.",6923
FortisAlberta Inc.,5076
FortisBC Energy Inc.,5002
FortisBC Energy Inc.,5357
