Target Name,Target No.
Raiffeisen Switzerland B.V.,16451
Raiffeisen Versicherung AG,2872
Raiffeisen Wohnbaubank Aktiengesellschaft,2859
RAIFFEISENLANDESBANK NIEDEROESTERREICH-WIEN AG,2863
RAIN CII CARBON LLC,22057
Rainbow Hospital Partnership,5311
RAKFUNDING CAYMAN LTD,14947
RAMIUS SPECIAL ALTERNATIVE PROGRAM SICAV,15310
RAMPER INVESTMENTS (JERSEY) LIMITED,12458
Rand Merchant Bank Ltd,25571
RANTAU ABANG CAPITAL BERHAD,15847
Ras Laffan Liquefied Natural Gas Co. Ltd (3),17106
"RAYCOM REAL ESTATE CO., LTD.",6994
RB CAPITAL S.A.,4522
RB MEDIA HOLDINGS PRIVATE LIMITED,11741
RB MEDIASOFT PRIVATE LIMITED,11740
RCCPL PRIVATE LIMITED,11580
RCI COLOMBIA S.A. COMPANIA DE FINANCIAMIENTO,7350
RCI Servicios Colombia S.A.,7349
"RCN TELECOM SERVICES, LLC",23613
RCS & RDS SA,17118
