Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
Nanyang Commercial Bank (China) Limited,7022,nanyang commercial,nanyang,Nanyang Holdings,102899.0,,,Nanyang Press Holdings,28597,99.58,Nanyang Holdings,102899,99.56,Nanyang Holdings (Berlin),288050,99.56,Nanyang Holdings (XETRA),313842,99.56,Nanyang Shipping Group Company 'A',10362,99.53,Shanghai XIN Nanyang 'A',95686,99.43,Shanghai Xinnanyang (SSE Connect Equities) Only Education and Technology 'A',213583,99.39,Nanfang Communication,102894,85.81,Sanyang Electro Mechanics,38940,85.74,Wuhan Yangtze Communication 'A',96745,85.71000000000001
NANYANG COMMERCIAL BANK LIMITED,10372,nanyang commercial,nanyang,Nanyang Holdings,102899.0,,,Nanyang Press Holdings,28597,99.58,Nanyang Holdings,102899,99.56,Nanyang Holdings (Berlin),288050,99.56,Nanyang Holdings (XETRA),313842,99.56,Nanyang Shipping Group Company 'A',10362,99.53,Shanghai XIN Nanyang 'A',95686,99.43,Shanghai Xinnanyang (SSE Connect Equities) Only Education and Technology 'A',213583,99.39,Nanfang Communication,102894,85.81,Sanyang Electro Mechanics,38940,85.74,Wuhan Yangtze Communication 'A',96745,85.71000000000001
Nara Statutory Trust IV,21896,nara statutory iv,nara,Nara Banking,37322.0,,,Nara Bancorp (XETRA),307220,99.55,Nara Soft,121198,99.54,Narang Industries,28599,99.53,Dinara Servis,118255,99.53,Fornara Spa,17672,99.5,Sanara (Generale Navigation) Limited Data,21822,99.5,Narasaki Sangyo,112008,99.5,Fornara Spa,166884,99.5,Narasaki Sangyo (Non-NASDAQ OTC),238333,99.5,Menara Ventures XL Units,102594,99.49
NARMADA WIND ENERGY PRIVATE LIMITED,11811,narmada wind energy private,narmada,Narmada Cement,28602.0,,,Narmada Agrobase,102905,99.56,Narmada Gelatines,102907,99.55,Narmada Cement,28602,99.54,Narmada Chematur Petrochemicals,102906,99.52,Narmada Sugar,169405,99.5,Narmada Macplast Drip Irrigation Systems,102908,99.48,Gujarat Narmada Knitwear,26431,99.47,Gujarat Narmada Valley Fertilisers,167167,99.46,Gujarat Narmada Valley (National India) Fertilizers,221798,99.46,Gujarat Narmada Valley GDR 144A,205877,99.45
NASSA TOPCO AS,16599,nassa topco as,nassa,,,,,Nassau Broadcasting,75088,99.61,Credit Suisse AG (Berlin) Nassau Exchange-Traded Note,285541,99.33,AS Company,91243,99.25,Assam-Dooars,45070,79.89,Nissan Tokyo Sales Holdings,112250,79.89,Nass Corporation BSC,84862,79.79,Nasa Skola,37328,79.78,Nasa Sloga,37329,79.78,Nyssa Corporation,103124,79.78,Nasstar,49209,79.77000000000001
"NATBANK, NATIONAL ASSOCIATION",25093,natbank national association,natbank,,,,,At-Group,24421,99.13,At Trust,45099,99.13,TB Group,114157,99.13,NK,121377,99.13,T Bank,22692,99.07,K Group Holdings,101827,99.07,Tsesnabank,114532,91.4,AB Banka,4729,88.41,Banka (India),24603,88.41,Banks (Sidney C),45255,88.41
Natexis Ambs Company LLC,21563,natexis ambs,natexis,Natexis SA,20388.0,,,Natexis SA,20388,99.74,Natexis (VIRT-X),296093,99.74,Financiere Natexis Limited Data,17548,99.51,Tex Holdings,51042,99.4,At-Group,24421,99.29,At Trust,45099,99.29,X,13869,99.15,T Bank,22692,99.15,Natixis,20404,85.77,Natixis (Swiss Stock Exchange),228242,85.77
Natexis Banques Populaires US Finance Co. LLC,22284,natexis banques populaires us,natexis,Natexis SA,20388.0,,,Natexis SA,20388,99.39,Natexis (VIRT-X),296093,99.39,Financiere Natexis Limited Data,17548,99.38,Tex Holdings,51042,99.19,At-Group,24421,99.13,At Trust,45099,99.13,X,13869,99.07,T Bank,22692,99.07,Natixis Vaughan Nelson Select ETF,189320,85.62,Natixis United States Equity Opportunities ETF,189318,85.62
NATINIUM FINANCIAL PRODUCTS PUBLIC LIMITED COM,10966,natinium financial products public com,natinium,,,,,ATI,62707,99.15,ATI,133754,99.15,ATI (Frankfurt),261431,99.15,ATI (XETRA),261432,99.15,At-Group,24421,99.1,At Trust,45099,99.1,IU International,65831,99.1,TI Group,183594,99.1,TI Group,201171,99.1,IU International (London),232307,99.1
NATIOCREDIBAIL S.A.,8618,natiocredibail,natiocredibail,,,,,Diba Bank,7222,99.44,IOC International,48197,99.35,ATI,62707,99.35,CRE,108852,99.35,OCR Group,112387,99.35,ATI,133754,99.35,CRE (Non-NASDAQ OTC),235649,99.35,ATI (Frankfurt),261431,99.35,ATI (XETRA),261432,99.35,At-Group,24421,99.25
