Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
SONY CAPITAL CORPORATION,21209,sony capital corporation,sony,Sony (London),222811.0,Sony Group (Non-NASDAQ OTC),248930.0,Sony Group Corporation Cedear,149954,99.68,Sony Communications Network,174235,99.51,Sony Communications Network (XETRA),317590,99.51,Sony Certificate (Brussels),170523,99.5,Sony Certificate (Frankfurt),170524,99.5,Sony Certificate (Swiss Stock Exchange),180849,99.5,Sony Certificate (XETRA),317589,99.5,Sony Financial Holdings Unsponsored ADR 1:1,209885,99.48,Sony Chemicals,30416,99.47,Sony Financial Holdings,30417,99.47
SOPF FPF OOO,17289,sopf fpf ooo,sopf,,,,,Company-OP AG,16021,99.29,O-Bank,115989,99.15,F Investment Trust Group,125685,99.15,Censof Holdings,108552,85.47,Glossop,47446,85.46000000000001,PFB,11170,79.47,PFA,21038,79.47,PFB (Non-NASDAQ OTC),239034,79.47,Soffo,22291,74.84,Soffo SA,22292,74.84
SORTLAND EIENDOMSINVEST 2 AS,16613,sortland eiendomsinvest 2 as,sortland,,,,,Land Securities Group PLC,48475,99.25,Land,111227,99.25,Land Securities Group,124533,99.25,Land Securities (VIRT-X),232374,99.25,Land Securities Group (Non-NASDAQ OTC),246837,99.25,Land Securities Group (Frankfurt),271880,99.25,Land Securities Group (XETRA),313217,99.25,RTL Group,87816,99.19,AB and Company,107405,99.19,SOR,113792,99.19
SOUTH BEACH CONSORTIUM PTE. LTD.,17827,south beach consortium pte.,south,Verizon South,69124.0,Lithium South (Non-NASDAQ OTC) Development,246950.0,South Beach Spirits,131948,99.7,Southern Star Consolidate,77204,99.62,Southern Concrete Pile,122939,99.61,South-East Petro,127073,99.6,South China Morning Post,170540,99.59,South China Morning Post (SEAQ International),222838,99.59,Southern Construction,50813,99.58,South Chester Tube,77023,99.58,Amsouth Bancorp,62544,99.57000000000001,Amsouth Bancorp (Berlin),299561,99.57000000000001
South Cement Company Limited,6671,south cement,south,Verizon South,69124.0,Lithium South (Non-NASDAQ OTC) Development,246950.0,Southeast Cement,122936,99.86,South Green Holdings,50663,99.78,South Ocean,122935,99.78,South Ocean (Berlin),274674,99.78,South India Cements,30433,99.77,South Valley Cement,96056,99.77,South East Group (XETRA),315676,99.73,Southern Bank,30437,99.7,Southnet,57645,99.7,Southern,132965,99.7
South China International Industrial Materials,6845,south china industrial materials,south,Verizon South,69124.0,Lithium South (Non-NASDAQ OTC) Development,246950.0,South China Insurance Company,43848,99.68,South China Financial Holdings,104714,99.68,South China Financial Holdings (Temp),170671,99.68,South China (Berlin) Financial Holdings,274671,99.68,South Malaysia Industries,113799,99.67,South African Bias Industries,39428,99.66,South India Paper Mills,104716,99.65,South American Minerals,57629,99.62,South China Vocational Education Group,104852,99.62,South China Assets Holdings,30432,99.6
South Coast British Columbia Transportation Au,5180,south coast british columbia transportation au,south,Verizon South,69124.0,Lithium South (Non-NASDAQ OTC) Development,246950.0,South Atlantic Corporation Limited,39429,99.61,South Africa Land and Exploration (London),233683,99.58,Southern Connecticut Bancorporation,61359,99.57000000000001,Southern Crescent Final Corporation,77029,99.57000000000001,Southern Petrochemicals Industries Corporation,104854,99.57000000000001,Southport Acquisition Corporation Class B,200567,99.57000000000001,Southport Acquisition A,138353,99.55,First Southeast Financial Corporation,72658,99.55,South West Pinnacle Exploration,104720,99.55,South Mountain Merger Corporation Class B,200547,99.55
SOUTH EAST WATER (FINANCE) LIMITED,9233,south east water,south,Verizon South,69124.0,Lithium South (Non-NASDAQ OTC) Development,246950.0,Southwest Water,61364,99.9,Southwest Water (Berlin),289390,99.9,Southwest Water (XETRA),308402,99.9,South-East Petro,127073,99.81,Southern Water,50674,99.8,Southstate,135057,99.77,Southstate (Frankfurt),266202,99.77,South East Group (XETRA),315676,99.77,Southwest Factory,68273,99.73,Southeast Bank,86266,99.72
SOUTH EAST WATER LIMITED,9083,south east water,south,Verizon South,69124.0,Lithium South (Non-NASDAQ OTC) Development,246950.0,Southwest Water,61364,99.9,Southwest Water (Berlin),289390,99.9,Southwest Water (XETRA),308402,99.9,South-East Petro,127073,99.81,Southern Water,50674,99.8,Southstate,135057,99.77,Southstate (Frankfurt),266202,99.77,South East Group (XETRA),315676,99.77,Southwest Factory,68273,99.73,Southeast Bank,86266,99.72
SOUTH LUZON TOLLWAY CORPORATION,16911,south luzon tollway corporation,south,Verizon South,69124.0,Lithium South (Non-NASDAQ OTC) Development,246950.0,South Atlantic Corporation Limited,39429,99.74,Southern Utah Bancorporation,77035,99.71,Southern Heritage Bancorporation,68261,99.67,Southern Peru Copper Corporation,200791,99.67,Southern Connecticut Bancorporation,61359,99.64,Southern Crescent Final Corporation,77029,99.64,Southern Financial Bancorporation,77032,99.62,Vietnam Southern Food Corporation,127494,99.62,Southern Union 5% Corporate Units,200561,99.62,Grandsouth Bancorporation SC,129789,99.61
"South Point Energy Center, LLC",22319,south point energy center,south,Verizon South,69124.0,Lithium South (Non-NASDAQ OTC) Development,246950.0,Southcross Energy Partners,57632,99.67,Southcross Energy (Berlin) Partners,281976,99.67,Southcross Energy (Berlin) Partners,289379,99.67,Southern Energy Holdings Group,30438,99.65,Southern Energy,57636,99.65,Southern Energy,86273,99.65,Southern Energy (SZS) Holdings Group,222814,99.65,Southern Energy (London),230527,99.65,Southern Energy (Non-NASDAQ OTC),248948,99.65,Southern Energy (Frankfurt),266199,99.65
"SOUTHEAST SUPPLY HEADER, LLC",22298,southeast supply header,southeast,Southeast Banking,57633.0,,,Southeast Cement,122936,99.62,Southeast Asia Properties and Finance,104721,99.62,Southeast Asia (Berlin) Properties and Finance,289380,99.62,Southeast Asia Renewable Power,22403,99.6,Southeast Bank First Mutual Fund,147429,99.6,Southeast Asia Renewable (XETRA) Power,315679,99.6,Southeastern Public Services,68254,99.59,Southeast Asia Commercial,124839,99.58,YSP Southeast Asia Holding,115022,99.57000000000001,Southeast Bank,86266,99.56
